strategy_hash,regime,trades,optimal_stop,total_return,win_rate,avg_return_per_trade,period,std_dev,fast_period,slow_period
7ffc4afaadf1,Low Vol,496,0.0,-0.015386761873747434,0.5745967741935484,-3.064942183916149e-05,11,1.5,,
7ffc4afaadf1,Medium Vol,427,0.0,0.011260168280276428,0.585480093676815,2.6818444508129726e-05,11,1.5,,
7ffc4afaadf1,High Vol,339,0.5,-0.012811199807750032,0.5457227138643068,-3.779114987536883e-05,11,1.5,,
3bee7e1ff576,Low Vol,466,0.5,-0.02683362196015628,0.5493562231759657,-5.7582879742824635e-05,10,1.5,,
3bee7e1ff576,Medium Vol,417,0.0,0.02166541648153797,0.5947242206235012,5.198264824116521e-05,10,1.5,,
3bee7e1ff576,High Vol,344,0.5,-0.012302768118413557,0.5377906976744186,-3.576386080934174e-05,10,1.5,,
bb047773debb,Low Vol,291,0.0,-0.01655967061195096,0.5395189003436426,-5.683799004913004e-05,16,2.0,,
bb047773debb,Medium Vol,241,0.0,-0.0028645514348747403,0.5726141078838174,-1.1369116313538915e-05,16,2.0,,
bb047773debb,High Vol,191,0.5,0.00045890332055457256,0.5340314136125655,2.4026351861495945e-06,16,2.0,,
8baa1f123457,Low Vol,308,0.0,-0.010306783683229348,0.5616883116883117,-3.3103028990844764e-05,19,2.0,,
8baa1f123457,Medium Vol,251,0.0,-0.0031767547021320786,0.5577689243027888,-1.2129649641046876e-05,19,2.0,,
8baa1f123457,High Vol,180,0.5,-0.0031558369531896804,0.5555555555555556,-1.7532427517720448e-05,19,2.0,,
49cbed903ac4,Low Vol,296,0.0,-0.019312353565413054,0.5337837837837838,-6.53597992029884e-05,20,2.0,,
49cbed903ac4,Medium Vol,274,0.0,-0.00051778986343054,0.551094890510949,-1.37593195940069e-06,20,2.0,,
49cbed903ac4,High Vol,174,0.5,-0.007077632020929876,0.5574712643678161,-4.067604609729814e-05,20,2.0,,
8e87066c3723,Low Vol,290,0.0,-0.01595194966048652,0.5310344827586206,-5.490930124070864e-05,17,2.0,,
8e87066c3723,Medium Vol,245,0.0,-0.007884409822377703,0.5469387755102041,-3.180397370327951e-05,17,2.0,,
8e87066c3723,High Vol,185,0.5,-0.0046304270920450846,0.5243243243243243,-2.5029335632676132e-05,17,2.0,,
5c7108270d04,Low Vol,300,0.0,-0.010709979549290871,0.5566666666666666,-3.532965518727608e-05,18,2.0,,
5c7108270d04,Medium Vol,247,0.0,-0.009158397563105214,0.5465587044534413,-3.669779869216238e-05,18,2.0,,
5c7108270d04,High Vol,182,0.5,-0.003019582881172378,0.554945054945055,-1.6591114731716363e-05,18,2.0,,
3f61275abdc4,Low Vol,268,0.0,-0.024327417872849977,0.48880597014925375,-9.13384649653849e-05,12,2.0,,
3f61275abdc4,Medium Vol,225,0.0,-0.012643765221137526,0.5022222222222222,-5.605446934782217e-05,12,2.0,,
3f61275abdc4,High Vol,194,0.0,0.0038111999124517126,0.5360824742268041,2.019772594526033e-05,12,2.0,,
b9277649d929,Low Vol,261,0.3,-0.018298465705059174,0.5057471264367817,-7.010906400405813e-05,11,2.0,,
b9277649d929,Medium Vol,221,0.0,-0.012168736242439082,0.502262443438914,-5.489079842909804e-05,11,2.0,,
b9277649d929,High Vol,180,0.0,-0.0016331885670730628,0.5388888888888889,-8.367054006003003e-06,11,2.0,,
f1ad6d1f3a6b,Low Vol,280,0.0,-0.011031836327989764,0.5107142857142857,-3.91054093805547e-05,14,2.0,,
f1ad6d1f3a6b,Medium Vol,236,0.0,-0.011126386005089639,0.5084745762711864,-4.683971562153552e-05,14,2.0,,
f1ad6d1f3a6b,High Vol,190,0.5,-0.006697205476591574,0.5052631578947369,-3.524844987679776e-05,14,2.0,,
1729defe80ec,Low Vol,529,0.0,-0.029500797210032292,0.5614366729678639,-5.603013906408321e-05,16,1.5,,
1729defe80ec,Medium Vol,444,0.5,-0.018667742522289588,0.6013513513513513,-4.204446514029186e-05,16,1.5,,
1729defe80ec,High Vol,339,0.0,-0.007344777494459276,0.5781710914454278,-2.078655257311019e-05,16,1.5,,
de310b1d719c,Low Vol,300,0.0,-0.0073686867761387775,0.54,-2.4145332011972223e-05,15,2.0,,
de310b1d719c,Medium Vol,236,0.0,-0.012571145515634763,0.5296610169491526,-5.309162489025253e-05,15,2.0,,
de310b1d719c,High Vol,194,0.5,-0.013405214640604972,0.5,-6.909904453920088e-05,15,2.0,,
7ac75d9a0237,Low Vol,513,0.0,-0.0235653798241946,0.5867446393762183,-4.591290545781348e-05,14,1.5,,
7ac75d9a0237,Medium Vol,447,0.4,-0.008458357392518628,0.6085011185682326,-1.8922499759549505e-05,14,1.5,,
7ac75d9a0237,High Vol,333,0.0,-0.022053340358172524,0.5645645645645646,-6.594138439404437e-05,14,1.5,,
f9a95a9ec1bb,Low Vol,504,0.0,-0.02149897011225055,0.5952380952380952,-4.2545363848797086e-05,12,1.5,,
f9a95a9ec1bb,Medium Vol,436,0.0,-0.001975578310523196,0.5848623853211009,-3.8596030669887265e-06,12,1.5,,
f9a95a9ec1bb,High Vol,334,0.0,-0.029010562400350826,0.5389221556886228,-8.720821217380693e-05,12,1.5,,
e837394fa671,Low Vol,522,0.0,-0.030526391983443646,0.5823754789272031,-5.8825270881772206e-05,15,1.5,,
e837394fa671,Medium Vol,435,0.4,-0.01603270470921337,0.6068965517241379,-3.6856792434973266e-05,15,1.5,,
e837394fa671,High Vol,336,0.0,-0.013487806404582026,0.5952380952380952,-3.940259942016878e-05,15,1.5,,
6312bf78024e,Low Vol,510,0.0,-0.031113320993327087,0.5705882352941176,-6.140636816166893e-05,13,1.5,,
6312bf78024e,Medium Vol,452,0.0,0.0002756972629300858,0.5929203539823009,1.241906412253368e-06,13,1.5,,
6312bf78024e,High Vol,336,0.5,-0.030621831507950396,0.5505952380952381,-9.113640329747142e-05,13,1.5,,
b3883b4a99a3,Low Vol,461,0.25,-0.04517648122480874,0.5986984815618221,-9.799670547680854e-05,40,1.0,,
b3883b4a99a3,Medium Vol,393,0.0,0.001553673934651556,0.6946564885496184,5.6257611490496116e-06,40,1.0,,
b3883b4a99a3,High Vol,274,0.0,0.006356352885326766,0.6313868613138686,2.504688283412343e-05,40,1.0,,
cc981e9ed262,Low Vol,529,0.5,-0.03823060425980121,0.5500945179584121,-7.226957326994557e-05,17,1.5,,
cc981e9ed262,Medium Vol,440,0.4,-0.011887739982984728,0.5954545454545455,-2.7017590870419835e-05,17,1.5,,
cc981e9ed262,High Vol,334,0.5,-0.012193406346049828,0.6047904191616766,-3.65072046288917e-05,17,1.5,,
67e6717e7708,Low Vol,465,0.25,-0.04630943405237857,0.621505376344086,-9.959018075780338e-05,34,1.0,,
67e6717e7708,Medium Vol,412,0.0,-0.00660932772754641,0.6650485436893204,-1.4480998195130674e-05,34,1.0,,
67e6717e7708,High Vol,292,0.0,0.002638626923855414,0.6335616438356164,1.0910401274149057e-05,34,1.0,,
a2e4b74d4249,Low Vol,289,0.0,-0.025341646461376266,0.5570934256055363,-8.819485397259837e-05,25,2.0,,
a2e4b74d4249,Medium Vol,233,0.4,-0.01240272624949449,0.6137339055793991,-5.3230584761778926e-05,25,2.0,,
a2e4b74d4249,High Vol,172,0.5,-0.012920253709917567,0.5523255813953488,-7.511775412742772e-05,25,2.0,,
982f190045df,Low Vol,453,0.25,-0.045277123700738546,0.5982339955849889,-9.994950044313145e-05,41,1.0,,
982f190045df,Medium Vol,387,0.0,-0.004262087645309887,0.6873385012919897,-9.34475476854471e-06,41,1.0,,
982f190045df,High Vol,271,0.0,0.006094338044698944,0.6420664206642066,2.4361544955707587e-05,41,1.0,,
99ba9aeafcd7,Low Vol,495,0.25,-0.03938743152824703,0.6101010101010101,-7.957056874393339e-05,28,1.0,,
99ba9aeafcd7,Medium Vol,442,0.5,0.0010184637255208724,0.6447963800904978,2.3042165735766344e-06,28,1.0,,
99ba9aeafcd7,High Vol,298,0.5,-0.010120251570314681,0.6577181208053692,-3.396057573931101e-05,28,1.0,,
6b16474082ff,Low Vol,299,0.0,-0.026577985077346655,0.5384615384615384,-8.955897007235237e-05,21,2.0,,
6b16474082ff,Medium Vol,263,0.0,-0.009699146697979555,0.5703422053231939,-3.637584827895061e-05,21,2.0,,
6b16474082ff,High Vol,172,0.5,-0.013880107134308425,0.5406976744186046,-8.069829729249084e-05,21,2.0,,
7a965b138401,Low Vol,478,0.25,-0.051134143387906644,0.6129707112970711,-0.00010697519537218963,36,1.0,,
7a965b138401,Medium Vol,418,0.0,-0.0017509032839413408,0.6698564593301436,-2.6329677194650045e-06,36,1.0,,
7a965b138401,High Vol,290,0.0,0.009061886730112656,0.6310344827586207,3.3047863441868335e-05,36,1.0,,
a09b0b058df0,Low Vol,469,0.25,-0.05334624705126068,0.6119402985074627,-0.00011374466322230422,35,1.0,,
a09b0b058df0,Medium Vol,418,0.0,-0.0010512510733861058,0.6746411483253588,-9.237143503643644e-07,35,1.0,,
a09b0b058df0,High Vol,299,0.0,0.005906550702521995,0.6354515050167224,2.157432138930991e-05,35,1.0,,
e1a5b15c1c4d,Low Vol,498,0.5,-0.032258602670403695,0.572289156626506,-6.477631058313995e-05,21,1.5,,
e1a5b15c1c4d,Medium Vol,421,0.0,-0.005785545957500471,0.6080760095011877,-1.2804203557004021e-05,21,1.5,,
e1a5b15c1c4d,High Vol,310,0.5,-0.01054533350384431,0.5806451612903226,-3.401720485111068e-05,21,1.5,,
9b3b4bc11856,Low Vol,300,0.0,-0.026884440476741545,0.5366666666666666,-9.028960653297233e-05,22,2.0,,
9b3b4bc11856,Medium Vol,251,0.0,-0.017500317821430578,0.5776892430278885,-6.956997285004223e-05,22,2.0,,
9b3b4bc11856,High Vol,170,0.5,-0.008536304575916923,0.5470588235294118,-5.0213556328923076e-05,22,2.0,,
eaf444435d31,Low Vol,459,0.25,-0.04155351547664095,0.599128540305011,-9.053053480749662e-05,39,1.0,,
eaf444435d31,Medium Vol,403,0.0,-0.004903915257453484,0.6774193548387096,-1.0564131081585867e-05,39,1.0,,
eaf444435d31,High Vol,277,0.0,0.0006304646868788844,0.631768953068592,4.247834329675111e-06,39,1.0,,
09ec9f49753c,Low Vol,490,0.25,-0.04465684866619908,0.610204081632653,-9.113642584938588e-05,30,1.0,,
09ec9f49753c,Medium Vol,427,0.5,-0.0010896470082021083,0.6697892271662763,-2.5518665297473263e-06,30,1.0,,
09ec9f49753c,High Vol,295,0.0,-0.014933698812542917,0.6237288135593221,-4.910054775446927e-05,30,1.0,,
cc91a898fba5,Low Vol,297,0.0,-0.02459267393682285,0.5589225589225589,-8.32615712977506e-05,24,2.0,,
cc91a898fba5,Medium Vol,238,0.0,-0.01986157357071283,0.592436974789916,-8.342947179489871e-05,24,2.0,,
cc91a898fba5,High Vol,175,0.5,-0.00775815129414942,0.56,-4.4332293109425256e-05,24,2.0,,
