signals,trades,avg_return_bps,total_return,win_rate,max_win_bps,max_loss_bps,long_trades,short_trades,long_avg_bps,long_win_rate,short_avg_bps,short_win_rate,strategy
47,23,4.089710912873914,0.009450713707157554,0.6086956521739131,67.89900109683728,-19.035135972279253,10,13,7.103331517393583,0.5,1.7715412170895521,0.6923076923076923,20
303,151,0.7648769149913764,0.011616596043821703,0.5960264900662252,90.94580443888799,-81.18926756970349,73,78,2.5111051485046736,0.6301369863013698,-0.8694136112454272,0.5641025641025641,21
2826,1429,0.6780880696683932,0.10174885463854211,0.7368789363191043,397.0817158083814,-244.08995844968143,667,762,1.1597160261077966,0.7511244377811095,0.2565055933625111,0.7244094488188977,3
3261,1644,0.5456453203791243,0.09385055522587549,0.7062043795620438,397.0817158083814,-183.03605278418732,763,881,0.9941396713854799,0.7182175622542595,0.15722172240199708,0.695800227014756,2
3262,1638,0.454462943417572,0.07728181448250737,0.6794871794871795,137.45833245052273,-222.84259472643814,744,894,0.9112816444810604,0.6948924731182796,0.0742916754184275,0.6666666666666666,0
2305,1173,0.42006634605790044,0.05050792194457232,0.7698209718670077,174.55157390529473,-318.45347685161727,553,620,1.8784803845620555,0.7902350813743219,-0.8807448850595158,0.7516129032258064,4
1500,751,0.41499260196133014,0.031656687340174905,0.6324900133155792,114.26327154476938,-165.62239329984368,341,410,0.7647202684282635,0.6363636363636364,0.12412154277785624,0.6292682926829268,5
2326,1170,0.31596087713512977,0.03765921607392353,0.7196581196581197,135.19102864667073,-233.42195134825582,513,657,0.7858401759878325,0.7270955165692008,-0.050931178133418964,0.7138508371385084,8
2326,1170,0.31596087713512977,0.03765921607392353,0.7196581196581197,135.19102864667073,-233.42195134825582,513,657,0.7858401759878325,0.7270955165692008,-0.050931178133418964,0.7138508371385084,36
2326,1170,0.31596087713512977,0.03765921607392353,0.7196581196581197,135.19102864667073,-233.42195134825582,513,657,0.7858401759878325,0.7270955165692008,-0.050931178133418964,0.7138508371385084,27
2073,1044,0.29978745518259886,0.031792736661882426,0.7586206896551724,167.25911206134012,-304.6480941146739,472,572,0.8535044357779055,0.75,-0.157125857476465,0.7657342657342657,9
3481,1752,0.2340138230335932,0.041851294771783065,0.684931506849315,166.92679834431578,-183.03605278418732,815,937,0.8803029252136221,0.7042944785276074,-0.3281266447110423,0.6680896478121665,1
1202,601,0.2219441703799135,0.013428203902398295,0.6955074875207987,125.02511223763409,-231.39927763151172,252,349,0.6051536053772386,0.7142857142857143,-0.05475719815683712,0.6819484240687679,24
1535,769,0.18819231675884332,0.014577215392061582,0.6671001300390117,137.45833245052273,-183.03605278418732,336,433,0.3074591193307397,0.6815476190476191,0.09564348150674802,0.6558891454965358,29
1535,769,0.18819231675884332,0.014577215392061582,0.6671001300390117,137.45833245052273,-183.03605278418732,336,433,0.3074591193307397,0.6815476190476191,0.09564348150674802,0.6558891454965358,44
1535,769,0.18819231675884332,0.014577215392061582,0.6671001300390117,137.45833245052273,-183.03605278418732,336,433,0.3074591193307397,0.6815476190476191,0.09564348150674802,0.6558891454965358,43
1535,769,0.18819231675884332,0.014577215392061582,0.6671001300390117,137.45833245052273,-183.03605278418732,336,433,0.3074591193307397,0.6815476190476191,0.09564348150674802,0.6558891454965358,12
1535,769,0.18819231675884332,0.014577215392061582,0.6671001300390117,137.45833245052273,-183.03605278418732,336,433,0.3074591193307397,0.6815476190476191,0.09564348150674802,0.6558891454965358,38
2107,1057,0.14300317288702552,0.015230251335762501,0.6679280983916746,137.45833245052273,-184.1757789587574,463,594,0.6652643968317875,0.673866090712743,-0.2640792289419729,0.6632996632996633,6
2107,1057,0.14300317288702552,0.015230251335762501,0.6679280983916746,137.45833245052273,-184.1757789587574,463,594,0.6652643968317875,0.673866090712743,-0.2640792289419729,0.6632996632996633,34
2107,1057,0.14300317288702552,0.015230251335762501,0.6679280983916746,137.45833245052273,-184.1757789587574,463,594,0.6652643968317875,0.673866090712743,-0.2640792289419729,0.6632996632996633,25
535,267,0.12200691069790649,0.0032628962102709824,0.5767790262172284,125.02511223763409,-90.38244960011077,115,152,1.0071731518070695,0.5739130434782609,-0.5476912322465254,0.5789473684210527,10
2337,1173,0.08508401020276557,0.010030324234270749,0.6760443307757886,137.45833245052273,-183.03605278418732,518,655,0.7037298511615808,0.6891891891891891,-0.40416567776161044,0.665648854961832,35
2337,1173,0.08508401020276557,0.010030324234270749,0.6760443307757886,137.45833245052273,-183.03605278418732,518,655,0.7037298511615808,0.6891891891891891,-0.40416567776161044,0.665648854961832,26
2337,1173,0.08508401020276557,0.010030324234270749,0.6760443307757886,137.45833245052273,-183.03605278418732,518,655,0.7037298511615808,0.6891891891891891,-0.40416567776161044,0.665648854961832,7
161,80,0.050542089776474786,0.00040441847332117753,0.55,67.89900109683728,-76.0407477017896,36,44,1.8531378218668404,0.5277777777777778,-1.4243089637520068,0.5681818181818182,15
529,264,-0.013480695748563762,-0.00035582704629721906,0.6022727272727273,125.02511223763409,-116.69788206811452,125,139,0.976932708223757,0.608,-0.9041402316948947,0.5971223021582733,22
914,457,-0.019976315155959237,-0.0009125010201308514,0.6301969365426696,137.45833245052273,-183.03605278418732,201,256,0.3152928029879059,0.6417910447761194,-0.283214958698603,0.62109375,23
1155,578,-0.02720921504943761,-0.001571456596855092,0.6366782006920415,137.45833245052273,-167.92998999191877,258,320,-0.2355637438281376,0.6511627906976745,0.1407766237783894,0.625,37
1155,578,-0.02720921504943761,-0.001571456596855092,0.6366782006920415,137.45833245052273,-167.92998999191877,258,320,-0.2355637438281376,0.6511627906976745,0.1407766237783894,0.625,28
1155,578,-0.02720921504943761,-0.001571456596855092,0.6366782006920415,137.45833245052273,-167.92998999191877,258,320,-0.2355637438281376,0.6511627906976745,0.1407766237783894,0.625,11
1315,658,-0.0659253753291918,-0.004328494642962255,0.6884498480243161,137.45833245052273,-183.03605278418732,285,373,-0.13765866723911055,0.6947368421052632,-0.011115755505259629,0.6836461126005362,18
1315,658,-0.0659253753291918,-0.004328494642962255,0.6884498480243161,137.45833245052273,-183.03605278418732,285,373,-0.13765866723911055,0.6947368421052632,-0.011115755505259629,0.6836461126005362,33
1315,658,-0.0659253753291918,-0.004328494642962255,0.6884498480243161,137.45833245052273,-183.03605278418732,285,373,-0.13765866723911055,0.6947368421052632,-0.011115755505259629,0.6836461126005362,42
587,293,-0.15790790514612843,-0.004616014924575196,0.590443686006826,125.02511223763409,-99.56246483698416,140,153,0.4588722506160699,0.5571428571428572,-0.7222819038827807,0.6209150326797386,40
587,293,-0.15790790514612843,-0.004616014924575196,0.590443686006826,125.02511223763409,-99.56246483698416,140,153,0.4588722506160699,0.5571428571428572,-0.7222819038827807,0.6209150326797386,31
587,293,-0.15790790514612843,-0.004616014924575196,0.590443686006826,125.02511223763409,-99.56246483698416,140,153,0.4588722506160699,0.5571428571428572,-0.7222819038827807,0.6209150326797386,16
1745,875,-0.1627473430026443,-0.014139477713306037,0.7405714285714285,138.42103547141582,-308.1846009927835,404,471,1.0311445471392946,0.7648514851485149,-1.186807478071314,0.7197452229299363,14
1510,756,-0.33763580440948476,-0.025202251378198093,0.7235449735449735,138.42103547141582,-308.1846009927835,344,412,1.2523890991578788,0.75,-1.6652294132133032,0.7014563106796117,19
1781,893,-0.381951428101911,-0.03353313317424933,0.6741321388577828,121.84768836480438,-231.05011324012153,389,504,-0.12112733502270634,0.6812339331619537,-0.5832620872443927,0.6686507936507936,39
1781,893,-0.381951428101911,-0.03353313317424933,0.6741321388577828,121.84768836480438,-231.05011324012153,389,504,-0.12112733502270634,0.6812339331619537,-0.5832620872443927,0.6686507936507936,30
1781,893,-0.381951428101911,-0.03353313317424933,0.6741321388577828,121.84768836480438,-231.05011324012153,389,504,-0.12112733502270634,0.6812339331619537,-0.5832620872443927,0.6686507936507936,13
871,436,-0.6398204168556274,-0.027510665043041782,0.6169724770642202,137.45833245052273,-222.84259472643814,188,248,-1.5307756769768694,0.6223404255319149,0.03558115130079827,0.6129032258064516,41
871,436,-0.6398204168556274,-0.027510665043041782,0.6169724770642202,137.45833245052273,-222.84259472643814,188,248,-1.5307756769768694,0.6223404255319149,0.03558115130079827,0.6129032258064516,17
871,436,-0.6398204168556274,-0.027510665043041782,0.6169724770642202,137.45833245052273,-222.84259472643814,188,248,-1.5307756769768694,0.6223404255319149,0.03558115130079827,0.6129032258064516,32
