strategy_id,num_signals,long_trades,short_trades,long_return_bps,short_return_bps,long_win_rate,short_win_rate,long_short_ratio,directional_edge_bps,better_direction,signals_per_day,avg_signal_spacing
SPY_5m_compiled_strategy_0,3262,744,894,1.622040625830699,0.6266359677553947,0.6948924731182796,0.6666666666666666,0.8322147651006712,0.9954046580753043,long,12.944444444444445,5.091689665746704
SPY_5m_compiled_strategy_1,3481,815,937,1.619662819159343,0.36355865737695153,0.7042944785276074,0.6680896478121665,0.8697972251867663,1.2561041617823914,long,13.813492063492063,4.770402298850574
SPY_5m_compiled_strategy_10,535,115,152,1.412555251034012,-0.34127388399774783,0.5739130434782609,0.5789473684210527,0.756578947368421,1.7538291350317599,long,2.123015873015873,31.06928838951311
SPY_5m_compiled_strategy_11,1155,258,320,1.4081062178574848,0.24410527291953513,0.6511627906976745,0.625,0.80625,1.1640009449379496,long,4.583333333333333,14.38214904679376
SPY_5m_compiled_strategy_12,1535,336,433,1.5202577218884317,0.32776831771118,0.6815476190476191,0.6558891454965358,0.7759815242494227,1.1924894041772518,long,6.091269841269841,10.820730117340286
SPY_5m_compiled_strategy_13,1781,389,504,1.0609507419055355,0.2958453685662762,0.6812339331619537,0.6686507936507936,0.7718253968253969,0.7651053733392593,long,7.067460317460317,9.326404494382022
SPY_5m_compiled_strategy_14,1745,404,471,3.1107620566152123,0.5627923954599557,0.7648514851485149,0.7197452229299363,0.8577494692144374,2.5479696611552565,long,6.924603174603175,9.522935779816514
SPY_5m_compiled_strategy_15,161,36,44,1.8531378218668406,-0.8324169705295156,0.5277777777777778,0.5681818181818182,0.8181818181818182,2.6855547923963563,long,0.6388888888888888,103.13125
SPY_5m_compiled_strategy_16,587,140,153,1.0948284987951284,-0.5172136886290932,0.5571428571428572,0.6209150326797386,0.9150326797385621,1.6120421874242217,long,2.3293650793650795,28.312286689419796
SPY_5m_compiled_strategy_17,871,188,248,0.7773307309909314,0.1418381813375104,0.6223404255319149,0.6129032258064516,0.7580645161290323,0.6354925496534211,long,3.4563492063492065,19.079310344827586
SPY_5m_compiled_strategy_18,1315,285,373,1.3114248187457564,0.26946194057446227,0.6947368421052632,0.6836461126005362,0.7640750670241286,1.0419628781712942,long,5.218253968253968,12.633181126331811
SPY_5m_compiled_strategy_19,1510,344,412,2.9849880699689586,0.1172318592280712,0.75,0.7014563106796117,0.8349514563106796,2.8677562107408874,long,5.992063492063492,11.001325381047051
SPY_5m_compiled_strategy_2,3261,763,881,1.9644383506500604,1.0362256733454582,0.7182175622542595,0.695800227014756,0.8660612939841089,0.9282126773046022,long,12.94047619047619,5.092638036809816
SPY_5m_compiled_strategy_20,47,10,13,7.103331517393583,1.7715412170895521,0.5,0.6923076923076923,0.7692307692307693,5.33179030030403,long,0.1865079365079365,353.54347826086956
SPY_5m_compiled_strategy_21,303,73,78,2.9383896357608856,-0.6762489056208835,0.6301369863013698,0.5641025641025641,0.9358974358974359,3.614638541381769,long,1.2023809523809523,54.645695364238414
SPY_5m_compiled_strategy_22,529,125,139,2.006668380610378,-0.70157957407696,0.608,0.5971223021582733,0.8992805755395683,2.708247954687338,long,2.0992063492063493,31.267045454545453
SPY_5m_compiled_strategy_23,914,201,256,2.200235679128153,-0.16880452156222248,0.6417910447761194,0.62109375,0.78515625,2.3690402006903755,long,3.626984126984127,18.179627601314348
SPY_5m_compiled_strategy_24,1202,252,349,2.421340796438828,0.4255355194105276,0.7142857142857143,0.6819484240687679,0.7220630372492837,1.9958052770283006,long,4.76984126984127,13.821815154038301
SPY_5m_compiled_strategy_25,2107,463,594,1.7379320658775435,0.4373352571691599,0.673866090712743,0.6632996632996633,0.7794612794612794,1.3005968087083835,long,8.36111111111111,7.882241215574549
SPY_5m_compiled_strategy_26,2337,518,655,1.713557793629914,0.33509175929014795,0.6891891891891891,0.665648854961832,0.7908396946564885,1.378466034339766,long,9.273809523809524,7.106592465753424
SPY_5m_compiled_strategy_27,2326,513,657,2.094039870439735,0.9543195599432333,0.7270955165692008,0.7138508371385084,0.7808219178082192,1.1397203104965017,long,9.23015873015873,7.1436559139784945
SPY_5m_compiled_strategy_28,1155,258,320,1.4081062178574848,0.24410527291953513,0.6511627906976745,0.625,0.80625,1.1640009449379496,long,4.583333333333333,14.38214904679376
SPY_5m_compiled_strategy_29,1535,336,433,1.5202577218884317,0.32776831771118,0.6815476190476191,0.6558891454965358,0.7759815242494227,1.1924894041772518,long,6.091269841269841,10.820730117340286
SPY_5m_compiled_strategy_3,2826,667,762,2.8296612713190896,1.7373540646572763,0.7511244377811095,0.7244094488188977,0.8753280839895013,1.0923072066618134,long,11.214285714285714,5.87858407079646
SPY_5m_compiled_strategy_30,1781,389,504,1.0609507419055355,0.2958453685662762,0.6812339331619537,0.6686507936507936,0.7718253968253969,0.7651053733392593,long,7.067460317460317,9.326404494382022
SPY_5m_compiled_strategy_31,587,140,153,1.0948284987951284,-0.5172136886290932,0.5571428571428572,0.6209150326797386,0.9150326797385621,1.6120421874242217,long,2.3293650793650795,28.312286689419796
SPY_5m_compiled_strategy_32,871,188,248,0.7773307309909314,0.1418381813375104,0.6223404255319149,0.6129032258064516,0.7580645161290323,0.6354925496534211,long,3.4563492063492065,19.079310344827586
SPY_5m_compiled_strategy_33,1315,285,373,1.3114248187457564,0.26946194057446227,0.6947368421052632,0.6836461126005362,0.7640750670241286,1.0419628781712942,long,5.218253968253968,12.633181126331811
SPY_5m_compiled_strategy_34,2107,463,594,1.7379320658775435,0.4373352571691599,0.673866090712743,0.6632996632996633,0.7794612794612794,1.3005968087083835,long,8.36111111111111,7.882241215574549
SPY_5m_compiled_strategy_35,2337,518,655,1.713557793629914,0.33509175929014795,0.6891891891891891,0.665648854961832,0.7908396946564885,1.378466034339766,long,9.273809523809524,7.106592465753424
SPY_5m_compiled_strategy_36,2326,513,657,2.094039870439735,0.9543195599432333,0.7270955165692008,0.7138508371385084,0.7808219178082192,1.1397203104965017,long,9.23015873015873,7.1436559139784945
SPY_5m_compiled_strategy_37,1155,258,320,1.4081062178574848,0.24410527291953513,0.6511627906976745,0.625,0.80625,1.1640009449379496,long,4.583333333333333,14.38214904679376
SPY_5m_compiled_strategy_38,1535,336,433,1.5202577218884317,0.32776831771118,0.6815476190476191,0.6558891454965358,0.7759815242494227,1.1924894041772518,long,6.091269841269841,10.820730117340286
SPY_5m_compiled_strategy_39,1781,389,504,1.0609507419055355,0.2958453685662762,0.6812339331619537,0.6686507936507936,0.7718253968253969,0.7651053733392593,long,7.067460317460317,9.326404494382022
SPY_5m_compiled_strategy_4,2305,551,620,3.9302941639473197,1.6040840907100011,0.7912885662431942,0.7516129032258064,0.8887096774193548,2.3262100732373185,long,9.146825396825397,7.198784722222222
SPY_5m_compiled_strategy_40,587,140,153,1.0948284987951284,-0.5172136886290932,0.5571428571428572,0.6209150326797386,0.9150326797385621,1.6120421874242217,long,2.3293650793650795,28.312286689419796
SPY_5m_compiled_strategy_41,871,188,248,0.7773307309909314,0.1418381813375104,0.6223404255319149,0.6129032258064516,0.7580645161290323,0.6354925496534211,long,3.4563492063492065,19.079310344827586
SPY_5m_compiled_strategy_42,1315,285,373,1.3114248187457564,0.26946194057446227,0.6947368421052632,0.6836461126005362,0.7640750670241286,1.0419628781712942,long,5.218253968253968,12.633181126331811
SPY_5m_compiled_strategy_43,1535,336,433,1.5202577218884317,0.32776831771118,0.6815476190476191,0.6558891454965358,0.7759815242494227,1.1924894041772518,long,6.091269841269841,10.820730117340286
SPY_5m_compiled_strategy_44,1535,336,433,1.5202577218884317,0.32776831771118,0.6815476190476191,0.6558891454965358,0.7759815242494227,1.1924894041772518,long,6.091269841269841,10.820730117340286
SPY_5m_compiled_strategy_5,1500,341,410,1.310807802377392,0.5079952653168751,0.6363636363636364,0.6292682926829268,0.8317073170731707,0.8028125370605168,long,5.9523809523809526,11.072715143428953
SPY_5m_compiled_strategy_6,2107,463,594,1.7379320658775435,0.4373352571691599,0.673866090712743,0.6632996632996633,0.7794612794612794,1.3005968087083835,long,8.36111111111111,7.882241215574549
SPY_5m_compiled_strategy_7,2337,518,655,1.713557793629914,0.33509175929014795,0.6891891891891891,0.665648854961832,0.7908396946564885,1.378466034339766,long,9.273809523809524,7.106592465753424
SPY_5m_compiled_strategy_8,2326,513,657,2.094039870439735,0.9543195599432333,0.7270955165692008,0.7138508371385084,0.7808219178082192,1.1397203104965017,long,9.23015873015873,7.1436559139784945
SPY_5m_compiled_strategy_9,2073,471,572,2.828000956558206,1.9243567718631056,0.7515923566878981,0.7657342657342657,0.8234265734265734,0.9036441846951002,long,8.226190476190476,8.01496138996139
