strategy,stop_loss,total_trades,total_return,avg_return,win_rate,max_win,max_loss,sharpe,long_trades,short_trades,long_return,short_return,stopped_out
SPY_5m_compiled_strategy_35,,1173,-1.852689790389028,-0.001579445686606162,0.05200341005967604,0.00910845233500584,-0.023417115302044374,-96.81126033600526,518,655,-0.9335517731227359,-0.9191380172662922,0
SPY_5m_compiled_strategy_36,0.001,1170,-0.7471821792217057,-0.000638617247198039,0.05726495726495726,0.011233687609309751,-0.0010000000000001078,-96.84983199903802,513,657,-0.3459051424076732,-0.40127703681403243,683
SPY_5m_compiled_strategy_36,0.002,1170,-1.1391806697152442,-0.0009736586920643113,0.05726495726495726,0.011233687609309751,-0.0020000000000001085,-119.44051254661028,513,657,-0.5550172636605899,-0.5841634060546543,310
SPY_5m_compiled_strategy_36,0.003,1170,-1.34931655073955,-0.0011532620091791025,0.05726495726495726,0.011233687609309751,-0.003000000000000104,-119.71175773410812,513,657,-0.66071540735621,-0.6886011433833399,179
SPY_5m_compiled_strategy_36,0.005,1170,-1.5554213896474374,-0.0013294199911516558,0.05726495726495726,0.011233687609309751,-0.005000000000000101,-111.74376348789417,513,657,-0.7589261545512791,-0.7964952350961584,82
SPY_5m_compiled_strategy_36,0.01,1170,-1.7453150169109795,-0.0014917222366760507,0.05726495726495726,0.011233687609309751,-0.01000000000000011,-97.74093846271185,513,657,-0.8517800045263708,-0.8935350123846084,19
SPY_5m_compiled_strategy_36,,1170,-1.8318174444626716,-0.001565655935438181,0.05726495726495726,0.011233687609309751,-0.02528085010331127,-86.29879419127599,513,657,-0.8999561452170033,-0.9318612992456683,0
SPY_5m_compiled_strategy_37,0.001,578,-0.4138273527530363,-0.0007159642781194399,0.058823529411764705,0.00910845233500584,-0.0010000000000001078,-114.05004142668709,258,320,-0.1947784315395717,-0.21904892121346461,398
SPY_5m_compiled_strategy_37,0.002,578,-0.6503442401481878,-0.0011251630452390792,0.058823529411764705,0.00910845233500584,-0.00200000000000011,-141.23553968645467,258,320,-0.3322088128922011,-0.3181354272559868,202
SPY_5m_compiled_strategy_37,0.003,578,-0.7717278824342405,-0.0013351693467720425,0.058823529411764705,0.00910845233500584,-0.003000000000000104,-139.3037151748632,258,320,-0.40328405237384185,-0.36844383006039866,112
SPY_5m_compiled_strategy_37,0.005,578,-0.8678413288577957,-0.0015014555862591622,0.058823529411764705,0.00910845233500584,-0.005000000000000101,-129.49631650307245,258,320,-0.46139097230424275,-0.4064503565535529,34
SPY_5m_compiled_strategy_37,0.01,578,-0.9367533606295324,-0.0016206805547223744,0.058823529411764705,0.00910845233500584,-0.010000000000000045,-114.0574320364341,258,320,-0.5144585566077013,-0.4222948040218311,8
SPY_5m_compiled_strategy_37,,578,-0.9700112199106803,-0.001678220103651696,0.058823529411764705,0.00910845233500584,-0.023072313224131065,-100.46851543687053,258,320,-0.547232976353041,-0.42277824355763927,0
SPY_5m_compiled_strategy_38,0.001,769,-0.5441278436695269,-0.0007075784703114785,0.05201560468140442,0.00910845233500584,-0.0010000000000001078,-123.23212323496395,336,433,-0.2566043040656492,-0.28752353960387766,491
SPY_5m_compiled_strategy_38,0.002,769,-0.8325277830600173,-0.001082610901248397,0.05201560468140442,0.00910845233500584,-0.00200000000000011,-145.5633690313151,336,433,-0.4141156843341527,-0.4184120987258647,238
SPY_5m_compiled_strategy_38,0.003,769,-0.9814981029331541,-0.0012763304329429831,0.05201560468140442,0.00910845233500584,-0.003000000000000104,-140.92311910263385,336,433,-0.4971326279514033,-0.48436547498175087,135
SPY_5m_compiled_strategy_38,0.005,769,-1.105713419546559,-0.0014378588030514422,0.05201560468140442,0.00910845233500584,-0.005000000000000101,-128.93184759043825,336,433,-0.5613759689482689,-0.54433745059829,41
SPY_5m_compiled_strategy_38,0.01,769,-1.1953246875088974,-0.001554388410284652,0.05201560468140442,0.00910845233500584,-0.01000000000000011,-113.43920258689185,336,433,-0.6193616684451795,-0.5759630190637179,7
SPY_5m_compiled_strategy_38,,769,-1.2290254169878634,-0.0015982125058359733,0.05201560468140442,0.00910845233500584,-0.023417115302044374,-102.19075885233514,336,433,-0.6504010140170736,-0.5786244029707897,0
SPY_5m_compiled_strategy_39,0.001,893,-0.6021776825352816,-0.0006743311114616815,0.05711086226203808,0.009528183879290126,-0.0010000000000001078,-113.96803283262985,389,504,-0.284616358505087,-0.31756132403019466,532
SPY_5m_compiled_strategy_39,0.002,893,-0.9160967762843506,-0.0010258642511582873,0.05711086226203808,0.009528183879290126,-0.00200000000000011,-135.08939275636868,389,504,-0.45119485269746995,-0.46490192358688065,255
SPY_5m_compiled_strategy_39,0.003,893,-1.0893158234387466,-0.0012198385480837028,0.05711086226203808,0.009528183879290126,-0.003000000000000104,-132.20647119691708,389,504,-0.5383542863570936,-0.550961537081653,156
SPY_5m_compiled_strategy_39,0.005,893,-1.251060660720523,-0.0014009637858012575,0.05711086226203808,0.009528183879290126,-0.005000000000000101,-121.33760515670153,389,504,-0.6209232638035006,-0.6301373969170223,56
SPY_5m_compiled_strategy_39,0.01,893,-1.3877615809569759,-0.0015540443235800402,0.05711086226203808,0.009528183879290126,-0.01000000000000011,-105.1402830361077,389,504,-0.6973786316664952,-0.6903829492904809,12
SPY_5m_compiled_strategy_39,,893,-1.4467268009170968,-0.0016200748050583392,0.05711086226203808,0.009528183879290126,-0.025020401784939285,-92.46222672827957,389,504,-0.729485429858695,-0.7172413710584018,0
SPY_5m_compiled_strategy_4,0.001,1173,-0.6536343971808645,-0.0005572330751755025,0.060528559249786874,0.0166132436869674,-0.0010000000000001078,-65.85145338835329,553,620,-0.29358427690144434,-0.3600501202794202,612
SPY_5m_compiled_strategy_4,0.002,1173,-0.9974175370161827,-0.0008503133307895846,0.061381074168797956,0.0166132436869674,-0.002000000000000112,-87.09965385689232,553,620,-0.45619962277371456,-0.5412179142424682,285
SPY_5m_compiled_strategy_4,0.003,1173,-1.180030735445829,-0.0010059938068591892,0.061381074168797956,0.0166132436869674,-0.003000000000000104,-91.56605045802368,553,620,-0.5360949266586824,-0.6439358087871466,167
SPY_5m_compiled_strategy_4,0.005,1173,-1.3959464372961143,-0.0011900651639353064,0.061381074168797956,0.0166132436869674,-0.005000000000000092,-90.1757439295773,553,620,-0.6256753788522036,-0.7702710584439106,85
SPY_5m_compiled_strategy_4,0.01,1173,-1.6268150753325301,-0.0013868841221931203,0.061381074168797956,0.0166132436869674,-0.0100000000000001,-81.30668434576388,553,620,-0.7195975391923196,-0.9072175361402104,25
SPY_5m_compiled_strategy_4,,1173,-1.7928037356057314,-0.0015283919314626865,0.061381074168797956,0.0166132436869674,-0.03354013520323944,-67.85383543095195,553,620,-0.7975805047934015,-0.9952232308123301,0
SPY_5m_compiled_strategy_40,0.001,293,-0.2081351520814809,-0.0007103588808241669,0.07167235494880546,0.009898719663672968,-0.0010000000000001048,-105.40745876721115,140,153,-0.09508668039284789,-0.11304847168863302,213
SPY_5m_compiled_strategy_40,0.002,293,-0.34387838857197606,-0.0011736463773787578,0.07167235494880546,0.009898719663672968,-0.00200000000000011,-139.16990291169054,140,153,-0.18095955771069477,-0.16291883086128134,116
SPY_5m_compiled_strategy_40,0.003,293,-0.40994589456784924,-0.0013991327459653559,0.07167235494880546,0.009898719663672968,-0.0030000000000000946,-139.55198630080403,140,153,-0.22314068582632995,-0.18680520874151924,61
SPY_5m_compiled_strategy_40,0.005,293,-0.4612566003425572,-0.0015742546086776697,0.07167235494880546,0.009898719663672968,-0.005000000000000088,-130.318727039146,140,153,-0.25820920924774193,-0.20304739109481523,20
SPY_5m_compiled_strategy_40,0.01,293,-0.4976546373744988,-0.001698479991039245,0.07167235494880546,0.009898719663672968,-0.010000000000000052,-116.59250980222687,140,153,-0.2892725203302737,-0.20838211704422516,4
SPY_5m_compiled_strategy_40,,293,-0.5054703161427306,-0.0017251546626031763,0.07167235494880546,0.009898719663672968,-0.0134651268344344,-111.7374655644486,140,153,-0.29534859443710754,-0.2101217217056231,0
SPY_5m_compiled_strategy_41,0.001,436,-0.28857846580135854,-0.0006618772151407306,0.07568807339449542,0.00910845233500584,-0.001000000000000102,-90.72738020702887,188,248,-0.13211876299367792,-0.15645970280768068,295
SPY_5m_compiled_strategy_41,0.002,436,-0.4704684571424155,-0.0010790560943633382,0.07568807339449542,0.00910845233500584,-0.00200000000000011,-121.10479220805908,188,248,-0.23822847201403097,-0.23223998512838454,156
SPY_5m_compiled_strategy_41,0.003,436,-0.5797602436248404,-0.0013297253294147714,0.07568807339449542,0.00910845233500584,-0.0030000000000000963,-125.15773396827767,188,248,-0.3021688430847963,-0.27759140054004394,95
SPY_5m_compiled_strategy_41,0.005,436,-0.6626669247295327,-0.001519878267728286,0.07568807339449542,0.00910845233500584,-0.00500000000000009,-119.51350133265753,188,248,-0.35235632407359974,-0.31031060065593286,29
SPY_5m_compiled_strategy_41,0.01,436,-0.7154579307944773,-0.0016409585568680672,0.07568807339449542,0.00910845233500584,-0.010000000000000045,-108.64439745479915,188,248,-0.3938462455658207,-0.3216116852286565,5
SPY_5m_compiled_strategy_41,,436,-0.746242453448134,-0.0017115652602021421,0.07568807339449542,0.00910845233500584,-0.02589424315486995,-94.19219498271661,188,248,-0.42443156808170246,-0.32181088536643165,0
SPY_5m_compiled_strategy_42,0.001,658,-0.4408111408492126,-0.0006699257459714477,0.0547112462006079,0.00910845233500584,-0.0010000000000001089,-100.14668776181206,285,373,-0.20984559653484108,-0.2309655443143715,423
SPY_5m_compiled_strategy_42,0.002,658,-0.6985593975052797,-0.0010616404217405468,0.0547112462006079,0.00910845233500584,-0.00200000000000011,-127.70991176337984,285,373,-0.35106717438344814,-0.34749222312183153,209
SPY_5m_compiled_strategy_42,0.003,658,-0.8341394967198764,-0.0012676892047414536,0.0547112462006079,0.00910845233500584,-0.0030000000000001076,-128.36821696875532,285,373,-0.4245588340081018,-0.4095806627117746,121
SPY_5m_compiled_strategy_42,0.005,658,-0.9594554876248693,-0.0014581390389435704,0.0547112462006079,0.00910845233500584,-0.005000000000000106,-120.3399638586484,285,373,-0.4896527664839001,-0.4698027211409692,41
SPY_5m_compiled_strategy_42,0.01,658,-1.0511121262921912,-0.0015974348423893484,0.0547112462006079,0.00910845233500584,-0.01000000000000011,-106.95395695436476,285,373,-0.5462209461996033,-0.504891180092588,7
SPY_5m_compiled_strategy_42,,658,-1.0815382649248388,-0.0016436751746578097,0.0547112462006079,0.00910845233500584,-0.023417115302044374,-97.60257985952242,285,373,-0.5736365389406228,-0.507901725984216,0
SPY_5m_compiled_strategy_43,0.001,769,-0.5441278436695269,-0.0007075784703114785,0.05201560468140442,0.00910845233500584,-0.0010000000000001078,-123.23212323496395,336,433,-0.2566043040656492,-0.28752353960387766,491
SPY_5m_compiled_strategy_43,0.002,769,-0.8325277830600173,-0.001082610901248397,0.05201560468140442,0.00910845233500584,-0.00200000000000011,-145.5633690313151,336,433,-0.4141156843341527,-0.4184120987258647,238
SPY_5m_compiled_strategy_43,0.003,769,-0.9814981029331541,-0.0012763304329429831,0.05201560468140442,0.00910845233500584,-0.003000000000000104,-140.92311910263385,336,433,-0.4971326279514033,-0.48436547498175087,135
SPY_5m_compiled_strategy_43,0.005,769,-1.105713419546559,-0.0014378588030514422,0.05201560468140442,0.00910845233500584,-0.005000000000000101,-128.93184759043825,336,433,-0.5613759689482689,-0.54433745059829,41
SPY_5m_compiled_strategy_43,0.01,769,-1.1953246875088974,-0.001554388410284652,0.05201560468140442,0.00910845233500584,-0.01000000000000011,-113.43920258689185,336,433,-0.6193616684451795,-0.5759630190637179,7
SPY_5m_compiled_strategy_43,,769,-1.2290254169878634,-0.0015982125058359733,0.05201560468140442,0.00910845233500584,-0.023417115302044374,-102.19075885233514,336,433,-0.6504010140170736,-0.5786244029707897,0
SPY_5m_compiled_strategy_44,0.001,769,-0.5441278436695269,-0.0007075784703114785,0.05201560468140442,0.00910845233500584,-0.0010000000000001078,-123.23212323496395,336,433,-0.2566043040656492,-0.28752353960387766,491
SPY_5m_compiled_strategy_44,0.002,769,-0.8325277830600173,-0.001082610901248397,0.05201560468140442,0.00910845233500584,-0.00200000000000011,-145.5633690313151,336,433,-0.4141156843341527,-0.4184120987258647,238
SPY_5m_compiled_strategy_44,0.003,769,-0.9814981029331541,-0.0012763304329429831,0.05201560468140442,0.00910845233500584,-0.003000000000000104,-140.92311910263385,336,433,-0.4971326279514033,-0.48436547498175087,135
SPY_5m_compiled_strategy_44,0.005,769,-1.105713419546559,-0.0014378588030514422,0.05201560468140442,0.00910845233500584,-0.005000000000000101,-128.93184759043825,336,433,-0.5613759689482689,-0.54433745059829,41
SPY_5m_compiled_strategy_44,0.01,769,-1.1953246875088974,-0.001554388410284652,0.05201560468140442,0.00910845233500584,-0.01000000000000011,-113.43920258689185,336,433,-0.6193616684451795,-0.5759630190637179,7
SPY_5m_compiled_strategy_44,,769,-1.2290254169878634,-0.0015982125058359733,0.05201560468140442,0.00910845233500584,-0.023417115302044374,-102.19075885233514,336,433,-0.6504010140170736,-0.5786244029707897,0
SPY_5m_compiled_strategy_5,0.001,751,-0.5499215336347384,-0.0007322523750129673,0.05193075898801598,0.00910845233500584,-0.0010000000000001078,-124.03744398152028,341,410,-0.2675144521484205,-0.2824070814863178,529
SPY_5m_compiled_strategy_5,0.002,751,-0.8495204996392258,-0.0011311857518498346,0.05193075898801598,0.00910845233500584,-0.00200000000000011,-148.537070406682,341,410,-0.4397994427908402,-0.4097210568483855,252
SPY_5m_compiled_strategy_5,0.003,751,-0.9999364242864361,-0.0013314732680245489,0.05193075898801598,0.00910845233500584,-0.003000000000000104,-144.55167454782872,341,410,-0.528140385392335,-0.47179603889410127,138
SPY_5m_compiled_strategy_5,0.005,751,-1.1026880792395055,-0.0014682930482550008,0.05193075898801598,0.00910845233500584,-0.005000000000000105,-133.16241784980912,341,410,-0.5964153893669693,-0.5062726898725363,40
SPY_5m_compiled_strategy_5,0.01,751,-1.1751345074170545,-0.0015647596636711777,0.05193075898801598,0.00910845233500584,-0.010000000000000052,-118.24735696541988,341,410,-0.6476388421801255,-0.5274956652369289,7
SPY_5m_compiled_strategy_5,,751,-1.1996779459027322,-0.0015974406736387913,0.05193075898801598,0.00910845233500584,-0.017812666403284272,-109.72017850796301,341,410,-0.6626519375618205,-0.5370260083409117,0
SPY_5m_compiled_strategy_6,0.001,1057,-0.7419025061610403,-0.0007018945186007949,0.048249763481551564,0.010122433240142678,-0.0010000000000001078,-125.37726482039501,463,594,-0.3421596817660131,-0.39974282439502723,634
SPY_5m_compiled_strategy_6,0.002,1057,-1.1191294131743847,-0.0010587790096257188,0.048249763481551564,0.010122433240142678,-0.0020000000000001085,-145.07184676388982,463,594,-0.5441762382147869,-0.5749531749595979,312
SPY_5m_compiled_strategy_6,0.003,1057,-1.3158431858217219,-0.0012448847547982232,0.048249763481551564,0.010122433240142678,-0.003000000000000104,-140.01548673137552,463,594,-0.6483008982327019,-0.66754228758902,174
SPY_5m_compiled_strategy_6,0.005,1057,-1.481169720667815,-0.0014012958568285856,0.048249763481551564,0.010122433240142678,-0.005000000000000101,-127.47091526322626,463,594,-0.7295498930595687,-0.7516198276082463,56
SPY_5m_compiled_strategy_6,0.01,1057,-1.614365076835087,-0.0015273084927484267,0.048249763481551564,0.010122433240142678,-0.01000000000000011,-110.38855402431702,463,594,-0.8054334130889969,-0.8089316637460904,13
SPY_5m_compiled_strategy_6,,1057,-1.6732981553924615,-0.0015830635339569173,0.048249763481551564,0.010122433240142678,-0.023417115302044374,-97.51202506670683,463,594,-0.841002777382261,-0.8322953780102005,0
SPY_5m_compiled_strategy_7,0.001,1173,-0.8026461753659961,-0.0006842678391866975,0.05200341005967604,0.00910845233500584,-0.0010000000000001089,-126.13313476264166,518,655,-0.3763880009858699,-0.42625817438012625,698
SPY_5m_compiled_strategy_7,0.002,1173,-1.2157932765726058,-0.001036481906711514,0.05200341005967604,0.00910845233500584,-0.0020000000000001085,-144.11931538996515,518,655,-0.5981114645782728,-0.6176818119943331,339
SPY_5m_compiled_strategy_7,0.003,1173,-1.4381381787267222,-0.0012260342529639575,0.05200341005967604,0.00910845233500584,-0.0030000000000001076,-138.6677184808254,518,655,-0.717757108307123,-0.7203810704195992,193
SPY_5m_compiled_strategy_7,0.005,1173,-1.6275130490755263,-0.0013874791552221026,0.05200341005967604,0.00910845233500584,-0.005000000000000106,-125.85277285844754,518,655,-0.8162462136373207,-0.8112668354382054,67
SPY_5m_compiled_strategy_7,0.01,1173,-1.7904439684336118,-0.001526380194743062,0.05200341005967604,0.00910845233500584,-0.01000000000000011,-107.8879513047154,518,655,-0.901161872873965,-0.8892820955596468,18
SPY_5m_compiled_strategy_7,,1173,-1.852689790389028,-0.001579445686606162,0.05200341005967604,0.00910845233500584,-0.023417115302044374,-96.81126033600526,518,655,-0.9335517731227359,-0.9191380172662922,0
SPY_5m_compiled_strategy_8,0.001,1170,-0.7471821792217057,-0.000638617247198039,0.05726495726495726,0.011233687609309751,-0.0010000000000001078,-96.84983199903802,513,657,-0.3459051424076732,-0.40127703681403243,683
SPY_5m_compiled_strategy_8,0.002,1170,-1.1391806697152442,-0.0009736586920643113,0.05726495726495726,0.011233687609309751,-0.0020000000000001085,-119.44051254661028,513,657,-0.5550172636605899,-0.5841634060546543,310
SPY_5m_compiled_strategy_8,0.003,1170,-1.34931655073955,-0.0011532620091791025,0.05726495726495726,0.011233687609309751,-0.003000000000000104,-119.71175773410812,513,657,-0.66071540735621,-0.6886011433833399,179
SPY_5m_compiled_strategy_8,0.005,1170,-1.5554213896474374,-0.0013294199911516558,0.05726495726495726,0.011233687609309751,-0.005000000000000101,-111.74376348789417,513,657,-0.7589261545512791,-0.7964952350961584,82
SPY_5m_compiled_strategy_8,0.01,1170,-1.7453150169109795,-0.0014917222366760507,0.05726495726495726,0.011233687609309751,-0.01000000000000011,-97.74093846271185,513,657,-0.8517800045263708,-0.8935350123846084,19
SPY_5m_compiled_strategy_8,,1170,-1.8318174444626716,-0.001565655935438181,0.05726495726495726,0.011233687609309751,-0.02528085010331127,-86.29879419127599,513,657,-0.8999561452170033,-0.9318612992456683,0
SPY_5m_compiled_strategy_9,0.001,1044,-0.5679569924376222,-0.0005440201076988718,0.06704980842911877,0.016520392359318483,-0.0010000000000001078,-60.90144079095034,472,572,-0.26551689796874034,-0.30244009446888187,558
SPY_5m_compiled_strategy_9,0.002,1044,-0.8988036519833755,-0.0008609230382982525,0.06800766283524905,0.016520392359318483,-0.0020000000000001085,-83.92590626581188,472,572,-0.4363172901642088,-0.4624863618191667,276
SPY_5m_compiled_strategy_9,0.003,1044,-1.080876649921787,-0.001035322461610907,0.06800766283524905,0.016520392359318483,-0.003000000000000104,-89.7255522121609,472,572,-0.5241910340654833,-0.5566856158563035,160
SPY_5m_compiled_strategy_9,0.005,1044,-1.2584957956316192,-0.001205455742942164,0.06800766283524905,0.016520392359318483,-0.005000000000000101,-89.08109135856469,472,572,-0.5982028352868122,-0.6602929603448068,74
SPY_5m_compiled_strategy_9,0.01,1044,-1.4632965308562773,-0.0014016250295558212,0.06800766283524905,0.016520392359318483,-0.010000000000000111,-81.26003326574553,472,572,-0.6856748758529791,-0.7776216550032979,21
SPY_5m_compiled_strategy_9,,1044,-1.5855730452336716,-0.0015187481276184593,0.06800766283524905,0.016520392359318483,-0.0328512145573248,-70.14604658846386,472,572,-0.746366578254728,-0.8392064669789435,0
