strategy_idx,strategy_name,trades,trades_per_day,win_rate,total_return,annual_return,avg_return,avg_bars_held,sr_period,min_touches,bounce_threshold,exit_threshold
184,SPY_15m_compiled_strategy_184,472,1.542483660130719,0.451271186440678,-0.04170388025256855,-0.049575617199009825,-8.67729794760193e-05,2.2266949152542375,45.0,3.0,0.0035,0.0018
205,SPY_15m_compiled_strategy_205,696,2.2745098039215685,0.45977011494252873,-0.060504793089681375,-0.071790063546468,-8.52131506244676e-05,2.281609195402299,45.0,4.0,0.004,0.0012
206,SPY_15m_compiled_strategy_206,609,1.9901960784313726,0.4663382594417077,-0.02025663237656261,-0.024131194229006114,-3.0050058493960142e-05,2.231527093596059,45.0,4.0,0.004,0.0014
207,SPY_15m_compiled_strategy_207,582,1.9019607843137254,0.4793814432989691,-0.012340830023300886,-0.014712695514910834,-1.769516518572534e-05,2.1752577319587627,45.0,4.0,0.004,0.0015
208,SPY_15m_compiled_strategy_208,536,1.7516339869281046,0.4701492537313433,-0.019437472603110573,-0.02315721058521103,-3.288555940429995e-05,2.201492537313433,45.0,4.0,0.004,0.0016
209,SPY_15m_compiled_strategy_209,472,1.542483660130719,0.451271186440678,-0.04170388025256855,-0.049575617199009825,-8.67729794760193e-05,2.2266949152542375,45.0,4.0,0.004,0.0018
230,SPY_15m_compiled_strategy_230,705,2.303921568627451,0.4581560283687943,-0.054417203063414576,-0.06460653665445337,-7.48508259356782e-05,2.321985815602837,45.0,5.0,0.0045,0.0012
231,SPY_15m_compiled_strategy_231,618,2.019607843137255,0.46440129449838186,-0.015405275355081072,-0.018360620320674204,-2.1516716713899247e-05,2.2766990291262137,45.0,5.0,0.0045,0.0014
232,SPY_15m_compiled_strategy_232,591,1.9313725490196079,0.47715736040609136,-0.006147354060087484,-0.007333276331231375,-6.746775873509843e-06,2.22165820642978,45.0,5.0,0.0045,0.0015
233,SPY_15m_compiled_strategy_233,545,1.7810457516339868,0.46788990825688076,-0.015033613121951284,-0.01791830949667672,-2.4025960635438852e-05,2.2495412844036697,45.0,5.0,0.0045,0.0016
234,SPY_15m_compiled_strategy_234,480,1.5686274509803921,0.4479166666666667,-0.039345065664292855,-0.04678253410385058,-8.010216698482461e-05,2.283333333333333,45.0,5.0,0.0045,0.0018
255,SPY_15m_compiled_strategy_255,705,2.303921568627451,0.4581560283687943,-0.054417203063414576,-0.06460653665445337,-7.48508259356782e-05,2.321985815602837,50.0,3.0,0.005,0.0012
256,SPY_15m_compiled_strategy_256,618,2.019607843137255,0.46440129449838186,-0.015405275355081072,-0.018360620320674204,-2.1516716713899247e-05,2.2766990291262137,50.0,3.0,0.005,0.0014
257,SPY_15m_compiled_strategy_257,591,1.9313725490196079,0.47715736040609136,-0.006147354060087484,-0.007333276331231375,-6.746775873509843e-06,2.22165820642978,50.0,3.0,0.005,0.0015
258,SPY_15m_compiled_strategy_258,545,1.7810457516339868,0.46788990825688076,-0.015033613121951284,-0.01791830949667672,-2.4025960635438852e-05,2.2495412844036697,50.0,3.0,0.005,0.0016
259,SPY_15m_compiled_strategy_259,480,1.5686274509803921,0.4479166666666667,-0.039345065664292855,-0.04678253410385058,-8.010216698482461e-05,2.283333333333333,50.0,3.0,0.005,0.0018
280,SPY_15m_compiled_strategy_280,705,2.303921568627451,0.4581560283687943,-0.054417203063414576,-0.06460653665445337,-7.48508259356782e-05,2.321985815602837,50.0,5.0,0.0035,0.0012
281,SPY_15m_compiled_strategy_281,618,2.019607843137255,0.46440129449838186,-0.015405275355081072,-0.018360620320674204,-2.1516716713899247e-05,2.2766990291262137,50.0,5.0,0.0035,0.0014
282,SPY_15m_compiled_strategy_282,591,1.9313725490196079,0.47715736040609136,-0.006147354060087484,-0.007333276331231375,-6.746775873509843e-06,2.22165820642978,50.0,5.0,0.0035,0.0015
283,SPY_15m_compiled_strategy_283,545,1.7810457516339868,0.46788990825688076,-0.015033613121951284,-0.01791830949667672,-2.4025960635438852e-05,2.2495412844036697,50.0,5.0,0.0035,0.0016
284,SPY_15m_compiled_strategy_284,480,1.5686274509803921,0.4479166666666667,-0.039345065664292855,-0.04678253410385058,-8.010216698482461e-05,2.283333333333333,50.0,5.0,0.0035,0.0018
10,SPY_15m_compiled_strategy_10,670,2.189542483660131,0.45671641791044776,-0.06459215571630661,-0.07660821486777558,-9.533219471857454e-05,2.1761194029850746,30.0,3.0,0.0045,0.0012
11,SPY_15m_compiled_strategy_11,583,1.9052287581699345,0.4614065180102916,-0.02665056933175658,-0.031728179527644396,-4.296908413329679e-05,2.111492281303602,30.0,3.0,0.0045,0.0014
12,SPY_15m_compiled_strategy_12,556,1.8169934640522876,0.47302158273381295,-0.01952798725059679,-0.023264840541477594,-3.2021690762081016e-05,2.052158273381295,30.0,3.0,0.0045,0.0015
13,SPY_15m_compiled_strategy_13,510,1.6666666666666667,0.4627450980392157,-0.026222256441985392,-0.03121957882559545,-4.857027217537343e-05,2.070588235294118,30.0,3.0,0.0045,0.0016
14,SPY_15m_compiled_strategy_14,446,1.457516339869281,0.44170403587443946,-0.04928981006941513,-0.058549115468816026,-0.00011009183667684418,2.087443946188341,30.0,3.0,0.0045,0.0018
35,SPY_15m_compiled_strategy_35,670,2.189542483660131,0.45671641791044776,-0.06459215571630661,-0.07660821486777558,-9.533219471857454e-05,2.1761194029850746,30.0,4.0,0.005,0.0012
36,SPY_15m_compiled_strategy_36,583,1.9052287581699345,0.4614065180102916,-0.02665056933175658,-0.031728179527644396,-4.296908413329679e-05,2.111492281303602,30.0,4.0,0.005,0.0014
37,SPY_15m_compiled_strategy_37,556,1.8169934640522876,0.47302158273381295,-0.01952798725059679,-0.023264840541477594,-3.2021690762081016e-05,2.052158273381295,30.0,4.0,0.005,0.0015
38,SPY_15m_compiled_strategy_38,510,1.6666666666666667,0.4627450980392157,-0.026222256441985392,-0.03121957882559545,-4.857027217537343e-05,2.070588235294118,30.0,4.0,0.005,0.0016
39,SPY_15m_compiled_strategy_39,446,1.457516339869281,0.44170403587443946,-0.04928981006941513,-0.058549115468816026,-0.00011009183667684418,2.087443946188341,30.0,4.0,0.005,0.0018
60,SPY_15m_compiled_strategy_60,670,2.189542483660131,0.45671641791044776,-0.06459215571630661,-0.07660821486777558,-9.533219471857454e-05,2.1761194029850746,35.0,3.0,0.0035,0.0012
61,SPY_15m_compiled_strategy_61,583,1.9052287581699345,0.4614065180102916,-0.02665056933175658,-0.031728179527644396,-4.296908413329679e-05,2.111492281303602,35.0,3.0,0.0035,0.0014
62,SPY_15m_compiled_strategy_62,556,1.8169934640522876,0.47302158273381295,-0.01952798725059679,-0.023264840541477594,-3.2021690762081016e-05,2.052158273381295,35.0,3.0,0.0035,0.0015
63,SPY_15m_compiled_strategy_63,510,1.6666666666666667,0.4627450980392157,-0.026222256441985392,-0.03121957882559545,-4.857027217537343e-05,2.070588235294118,35.0,3.0,0.0035,0.0016
64,SPY_15m_compiled_strategy_64,446,1.457516339869281,0.44170403587443946,-0.04928981006941513,-0.058549115468816026,-0.00011009183667684418,2.087443946188341,35.0,3.0,0.0035,0.0018
85,SPY_15m_compiled_strategy_85,691,2.258169934640523,0.46164978292329956,-0.05101771452306658,-0.060591142936499476,-7.149962263348484e-05,2.1968162083936322,35.0,4.0,0.004,0.0012
86,SPY_15m_compiled_strategy_86,605,1.977124183006536,0.4677685950413223,-0.012624275287326236,-0.01505020168906357,-1.766066010181576e-05,2.133884297520661,35.0,4.0,0.004,0.0014
87,SPY_15m_compiled_strategy_87,577,1.8856209150326797,0.4800693240901213,-0.0043561224690231715,-0.0051973919515466704,-4.1418486282150385e-06,2.0779896013864816,35.0,4.0,0.004,0.0015
88,SPY_15m_compiled_strategy_88,531,1.7352941176470589,0.4708097928436911,-0.01151013769046838,-0.013723458995543947,-1.8301168288310174e-05,2.096045197740113,35.0,4.0,0.004,0.0016
89,SPY_15m_compiled_strategy_89,467,1.526143790849673,0.4518201284796574,-0.03524715045124771,-0.041927017379632114,-7.362057459933631e-05,2.113490364025696,35.0,4.0,0.004,0.0018
110,SPY_15m_compiled_strategy_110,691,2.258169934640523,0.46164978292329956,-0.05101771452306658,-0.060591142936499476,-7.149962263348484e-05,2.1968162083936322,35.0,5.0,0.0045,0.0012
111,SPY_15m_compiled_strategy_111,605,1.977124183006536,0.4677685950413223,-0.012624275287326236,-0.01505020168906357,-1.766066010181576e-05,2.133884297520661,35.0,5.0,0.0045,0.0014
112,SPY_15m_compiled_strategy_112,577,1.8856209150326797,0.4800693240901213,-0.0043561224690231715,-0.0051973919515466704,-4.1418486282150385e-06,2.0779896013864816,35.0,5.0,0.0045,0.0015
113,SPY_15m_compiled_strategy_113,531,1.7352941176470589,0.4708097928436911,-0.01151013769046838,-0.013723458995543947,-1.8301168288310174e-05,2.096045197740113,35.0,5.0,0.0045,0.0016
114,SPY_15m_compiled_strategy_114,467,1.526143790849673,0.4518201284796574,-0.03524715045124771,-0.041927017379632114,-7.362057459933631e-05,2.113490364025696,35.0,5.0,0.0045,0.0018
135,SPY_15m_compiled_strategy_135,691,2.258169934640523,0.46164978292329956,-0.05101771452306658,-0.060591142936499476,-7.149962263348484e-05,2.1968162083936322,40.0,3.0,0.005,0.0012
136,SPY_15m_compiled_strategy_136,605,1.977124183006536,0.4677685950413223,-0.012624275287326236,-0.01505020168906357,-1.766066010181576e-05,2.133884297520661,40.0,3.0,0.005,0.0014
137,SPY_15m_compiled_strategy_137,577,1.8856209150326797,0.4800693240901213,-0.0043561224690231715,-0.0051973919515466704,-4.1418486282150385e-06,2.0779896013864816,40.0,3.0,0.005,0.0015
138,SPY_15m_compiled_strategy_138,531,1.7352941176470589,0.4708097928436911,-0.01151013769046838,-0.013723458995543947,-1.8301168288310174e-05,2.096045197740113,40.0,3.0,0.005,0.0016
139,SPY_15m_compiled_strategy_139,467,1.526143790849673,0.4518201284796574,-0.03524715045124771,-0.041927017379632114,-7.362057459933631e-05,2.113490364025696,40.0,3.0,0.005,0.0018
160,SPY_15m_compiled_strategy_160,696,2.2745098039215685,0.45977011494252873,-0.060504793089681375,-0.071790063546468,-8.52131506244676e-05,2.281609195402299,40.0,5.0,0.0035,0.0012
161,SPY_15m_compiled_strategy_161,609,1.9901960784313726,0.4663382594417077,-0.02025663237656261,-0.024131194229006114,-3.0050058493960142e-05,2.231527093596059,40.0,5.0,0.0035,0.0014
162,SPY_15m_compiled_strategy_162,582,1.9019607843137254,0.4793814432989691,-0.012340830023300886,-0.014712695514910834,-1.769516518572534e-05,2.1752577319587627,40.0,5.0,0.0035,0.0015
163,SPY_15m_compiled_strategy_163,536,1.7516339869281046,0.4701492537313433,-0.019437472603110573,-0.02315721058521103,-3.288555940429995e-05,2.201492537313433,40.0,5.0,0.0035,0.0016
164,SPY_15m_compiled_strategy_164,472,1.542483660130719,0.451271186440678,-0.04170388025256855,-0.049575617199009825,-8.67729794760193e-05,2.2266949152542375,40.0,5.0,0.0035,0.0018
185,SPY_15m_compiled_strategy_185,696,2.2745098039215685,0.45977011494252873,-0.060504793089681375,-0.071790063546468,-8.52131506244676e-05,2.281609195402299,45.0,3.0,0.004,0.0012
186,SPY_15m_compiled_strategy_186,609,1.9901960784313726,0.4663382594417077,-0.02025663237656261,-0.024131194229006114,-3.0050058493960142e-05,2.231527093596059,45.0,3.0,0.004,0.0014
187,SPY_15m_compiled_strategy_187,582,1.9019607843137254,0.4793814432989691,-0.012340830023300886,-0.014712695514910834,-1.769516518572534e-05,2.1752577319587627,45.0,3.0,0.004,0.0015
188,SPY_15m_compiled_strategy_188,536,1.7516339869281046,0.4701492537313433,-0.019437472603110573,-0.02315721058521103,-3.288555940429995e-05,2.201492537313433,45.0,3.0,0.004,0.0016
189,SPY_15m_compiled_strategy_189,472,1.542483660130719,0.451271186440678,-0.04170388025256855,-0.049575617199009825,-8.67729794760193e-05,2.2266949152542375,45.0,3.0,0.004,0.0018
210,SPY_15m_compiled_strategy_210,696,2.2745098039215685,0.45977011494252873,-0.060504793089681375,-0.071790063546468,-8.52131506244676e-05,2.281609195402299,45.0,4.0,0.0045,0.0012
211,SPY_15m_compiled_strategy_211,609,1.9901960784313726,0.4663382594417077,-0.02025663237656261,-0.024131194229006114,-3.0050058493960142e-05,2.231527093596059,45.0,4.0,0.0045,0.0014
212,SPY_15m_compiled_strategy_212,582,1.9019607843137254,0.4793814432989691,-0.012340830023300886,-0.014712695514910834,-1.769516518572534e-05,2.1752577319587627,45.0,4.0,0.0045,0.0015
213,SPY_15m_compiled_strategy_213,536,1.7516339869281046,0.4701492537313433,-0.019437472603110573,-0.02315721058521103,-3.288555940429995e-05,2.201492537313433,45.0,4.0,0.0045,0.0016
214,SPY_15m_compiled_strategy_214,472,1.542483660130719,0.451271186440678,-0.04170388025256855,-0.049575617199009825,-8.67729794760193e-05,2.2266949152542375,45.0,4.0,0.0045,0.0018
235,SPY_15m_compiled_strategy_235,705,2.303921568627451,0.4581560283687943,-0.054417203063414576,-0.06460653665445337,-7.48508259356782e-05,2.321985815602837,45.0,5.0,0.005,0.0012
236,SPY_15m_compiled_strategy_236,618,2.019607843137255,0.46440129449838186,-0.015405275355081072,-0.018360620320674204,-2.1516716713899247e-05,2.2766990291262137,45.0,5.0,0.005,0.0014
237,SPY_15m_compiled_strategy_237,591,1.9313725490196079,0.47715736040609136,-0.006147354060087484,-0.007333276331231375,-6.746775873509843e-06,2.22165820642978,45.0,5.0,0.005,0.0015
238,SPY_15m_compiled_strategy_238,545,1.7810457516339868,0.46788990825688076,-0.015033613121951284,-0.01791830949667672,-2.4025960635438852e-05,2.2495412844036697,45.0,5.0,0.005,0.0016
239,SPY_15m_compiled_strategy_239,480,1.5686274509803921,0.4479166666666667,-0.039345065664292855,-0.04678253410385058,-8.010216698482461e-05,2.283333333333333,45.0,5.0,0.005,0.0018
260,SPY_15m_compiled_strategy_260,705,2.303921568627451,0.4581560283687943,-0.054417203063414576,-0.06460653665445337,-7.48508259356782e-05,2.321985815602837,50.0,4.0,0.0035,0.0012
261,SPY_15m_compiled_strategy_261,618,2.019607843137255,0.46440129449838186,-0.015405275355081072,-0.018360620320674204,-2.1516716713899247e-05,2.2766990291262137,50.0,4.0,0.0035,0.0014
262,SPY_15m_compiled_strategy_262,591,1.9313725490196079,0.47715736040609136,-0.006147354060087484,-0.007333276331231375,-6.746775873509843e-06,2.22165820642978,50.0,4.0,0.0035,0.0015
263,SPY_15m_compiled_strategy_263,545,1.7810457516339868,0.46788990825688076,-0.015033613121951284,-0.01791830949667672,-2.4025960635438852e-05,2.2495412844036697,50.0,4.0,0.0035,0.0016
264,SPY_15m_compiled_strategy_264,480,1.5686274509803921,0.4479166666666667,-0.039345065664292855,-0.04678253410385058,-8.010216698482461e-05,2.283333333333333,50.0,4.0,0.0035,0.0018
285,SPY_15m_compiled_strategy_285,705,2.303921568627451,0.4581560283687943,-0.054417203063414576,-0.06460653665445337,-7.48508259356782e-05,2.321985815602837,50.0,5.0,0.004,0.0012
286,SPY_15m_compiled_strategy_286,618,2.019607843137255,0.46440129449838186,-0.015405275355081072,-0.018360620320674204,-2.1516716713899247e-05,2.2766990291262137,50.0,5.0,0.004,0.0014
287,SPY_15m_compiled_strategy_287,591,1.9313725490196079,0.47715736040609136,-0.006147354060087484,-0.007333276331231375,-6.746775873509843e-06,2.22165820642978,50.0,5.0,0.004,0.0015
288,SPY_15m_compiled_strategy_288,545,1.7810457516339868,0.46788990825688076,-0.015033613121951284,-0.01791830949667672,-2.4025960635438852e-05,2.2495412844036697,50.0,5.0,0.004,0.0016
289,SPY_15m_compiled_strategy_289,480,1.5686274509803921,0.4479166666666667,-0.039345065664292855,-0.04678253410385058,-8.010216698482461e-05,2.283333333333333,50.0,5.0,0.004,0.0018
15,SPY_15m_compiled_strategy_15,670,2.189542483660131,0.45671641791044776,-0.06459215571630661,-0.07660821486777558,-9.533219471857454e-05,2.1761194029850746,30.0,3.0,0.005,0.0012
16,SPY_15m_compiled_strategy_16,583,1.9052287581699345,0.4614065180102916,-0.02665056933175658,-0.031728179527644396,-4.296908413329679e-05,2.111492281303602,30.0,3.0,0.005,0.0014
17,SPY_15m_compiled_strategy_17,556,1.8169934640522876,0.47302158273381295,-0.01952798725059679,-0.023264840541477594,-3.2021690762081016e-05,2.052158273381295,30.0,3.0,0.005,0.0015
18,SPY_15m_compiled_strategy_18,510,1.6666666666666667,0.4627450980392157,-0.026222256441985392,-0.03121957882559545,-4.857027217537343e-05,2.070588235294118,30.0,3.0,0.005,0.0016
19,SPY_15m_compiled_strategy_19,446,1.457516339869281,0.44170403587443946,-0.04928981006941513,-0.058549115468816026,-0.00011009183667684418,2.087443946188341,30.0,3.0,0.005,0.0018
40,SPY_15m_compiled_strategy_40,670,2.189542483660131,0.45671641791044776,-0.06459215571630661,-0.07660821486777558,-9.533219471857454e-05,2.1761194029850746,30.0,5.0,0.0035,0.0012
41,SPY_15m_compiled_strategy_41,583,1.9052287581699345,0.4614065180102916,-0.02665056933175658,-0.031728179527644396,-4.296908413329679e-05,2.111492281303602,30.0,5.0,0.0035,0.0014
42,SPY_15m_compiled_strategy_42,556,1.8169934640522876,0.47302158273381295,-0.01952798725059679,-0.023264840541477594,-3.2021690762081016e-05,2.052158273381295,30.0,5.0,0.0035,0.0015
43,SPY_15m_compiled_strategy_43,510,1.6666666666666667,0.4627450980392157,-0.026222256441985392,-0.03121957882559545,-4.857027217537343e-05,2.070588235294118,30.0,5.0,0.0035,0.0016
44,SPY_15m_compiled_strategy_44,446,1.457516339869281,0.44170403587443946,-0.04928981006941513,-0.058549115468816026,-0.00011009183667684418,2.087443946188341,30.0,5.0,0.0035,0.0018
65,SPY_15m_compiled_strategy_65,670,2.189542483660131,0.45671641791044776,-0.06459215571630661,-0.07660821486777558,-9.533219471857454e-05,2.1761194029850746,35.0,3.0,0.004,0.0012
66,SPY_15m_compiled_strategy_66,583,1.9052287581699345,0.4614065180102916,-0.02665056933175658,-0.031728179527644396,-4.296908413329679e-05,2.111492281303602,35.0,3.0,0.004,0.0014
67,SPY_15m_compiled_strategy_67,556,1.8169934640522876,0.47302158273381295,-0.01952798725059679,-0.023264840541477594,-3.2021690762081016e-05,2.052158273381295,35.0,3.0,0.004,0.0015
68,SPY_15m_compiled_strategy_68,510,1.6666666666666667,0.4627450980392157,-0.026222256441985392,-0.03121957882559545,-4.857027217537343e-05,2.070588235294118,35.0,3.0,0.004,0.0016
69,SPY_15m_compiled_strategy_69,446,1.457516339869281,0.44170403587443946,-0.04928981006941513,-0.058549115468816026,-0.00011009183667684418,2.087443946188341,35.0,3.0,0.004,0.0018
90,SPY_15m_compiled_strategy_90,691,2.258169934640523,0.46164978292329956,-0.05101771452306658,-0.060591142936499476,-7.149962263348484e-05,2.1968162083936322,35.0,4.0,0.0045,0.0012
91,SPY_15m_compiled_strategy_91,605,1.977124183006536,0.4677685950413223,-0.012624275287326236,-0.01505020168906357,-1.766066010181576e-05,2.133884297520661,35.0,4.0,0.0045,0.0014
92,SPY_15m_compiled_strategy_92,577,1.8856209150326797,0.4800693240901213,-0.0043561224690231715,-0.0051973919515466704,-4.1418486282150385e-06,2.0779896013864816,35.0,4.0,0.0045,0.0015
93,SPY_15m_compiled_strategy_93,531,1.7352941176470589,0.4708097928436911,-0.01151013769046838,-0.013723458995543947,-1.8301168288310174e-05,2.096045197740113,35.0,4.0,0.0045,0.0016
